Rivista,Licenza,Formato ultimo fascicolo,Licenza per formato ultimo fascicolo
Almatourism,CC-BY,PDF,PDF
Bruno Pini Mathematical Analysis Seminar,CC-BY,PDF,
Cinergie,CC-BY,HTML e PDF,HTML e PDF
CONFLUENZE,CC-BY,PDF,
Conservation Science in Cultural Heritage,CC-BY,PDF,
Encyclopaideia,CC-BY,HTML e PDF,HTML e PDF
European Journal of Creative Practices in Cities and Landscapes,CC-BY,HTML,HTML
Figure,CC-BY,PDF,
Griseldaonline,CC-BY-SA,PDF,
Histories of Postwar Architectures,CC-BY,PDF,PDF
I quaderni del m.æ.s. – Journal of Mediæ Ætatis Sodalicium,CC-BY,PDF,
INTRECCI d'arte,CC-BY,PDF,
Journal of Formalized Reasoning,CC-BY,PDF,
Labour and Law,CC-BY,PDF,
Musica Docta,CC-BY-SA,PDF,PDF
PsicoArt,CC-BY,HTML e PDF,HTML e PDF
Puente@Europa,CC-BY,PDF,
Scienza & Politica. Per una storia delle dottrine,CC-BY,PDF,PDF
SERIES,CC-BY,PDF,
Sociologica,CC-BY,HTML e PDF,HTML e PDF
STATISTICA,CC-BY,PDF,
Umanistica Digitale,CC-BY,HTML e PDF,HTML
University of Bologna Law Review,CC-BY,PDF,PDF
USAbroad – Journal of American History and Politics,CC-BY,HTML e PDF,HTML e PDF
ZoneModa Journal,CC-BY,HTML e PDF,HTML e PDF