cited_title,cited_doi,cited_publication_date,cited_author,cited_mag_id,cited_publication_year,cited_retraction_year,coci_citing_entities,coci_num_citations
When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,10.3389/fpsyg.2018.01333,08/02/2018,Jolie B Wormwood; Madeleine Devlin; Yu Ru Lin; Lisa Feldman Barrett; Karen S Quigley,2886242761,08/02/2018,12/17/2020,10.1177/0165025419830248;; 10.17829/turcom.458433;; 10.3389/fpubh.2020.00175,3
Globalization and vulnerable populations in times of a pandemic: A Mayan perspective,10.1186/s13010-020-00093-4,10/12/2020,Claudia Ruiz Sotomayor; Alejandra Barrero,,10/12/2020,12/14/2020,,0
"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault",10.22034/jhi.2019.80908,08/01/2019,Dimitris Liakopoulos,3047018195,08/01/2019,12/12/2020,,0
Search of Self Amidst Chaos,10.1007/s40737-015-0023-8,03/14/2015,Pankaj Suneja,2130836170,03/14/2015,12/08/2020,,0
"The Good, the Bad, and the Ugly: Should We Completely Banish Human Albumin from Our Intensive Care Units",10.1097/00000539-200010000-00022,10/01/2000,Joachim Boldt,2039505288,10/01/2000,10/23/2020,10.1111/j.1476-4431.2005.00141.x;; 10.1007/s11739-012-0802-0;; 10.1517/14740338.6.4.407;; 10.1002/9781119129400.ch6;; 10.1007/s00101-007-1235-4;; 10.1002/9781118356807.ch12;; 10.1097/01.ccm.0000142574.00425.e9;; 10.1097/00075198-200208000-00005;; 10.1080/13693780500129814;; 10.1017/s0265021503001273;; 10.1007/978-3-662-10597-9_26;; 10.1002/9781444316780.ch6;; 10.1177/108925320400800405;; 10.1592/phco.23.1.88.31914;; 10.1179/acb.2007.092;; 10.1097/00003643-200310000-00003;; 10.1177/0115426505020003314;; 10.1097/00000539-200110000-00001;; 10.1093/ajhp/62.6.637;; 10.1111/j.0894-0959.2004.17603.x;; 10.1213/ane.0000000000005113,21
The Influence of Different Intravascular Volume Replacement Regimens on Renal Function in the Elderly,10.1213/00000539-199911000-00009,05/01/1999,Bernhard Kumle; Joachim Boldt; Sven Piper; Christian Schmidt; Stephan Suttner; Sanja Salopek,2796436963,05/01/1999,10/23/2020,10.3109/9781420016680-28;; 10.1186/1471-227x-8-1;; 10.1007/bf03017799;; 10.1007/bf03018316;; 10.1007/bf03040482;; 10.1177/039139880402701206;; 10.1002/14651858.cd003590.pub2;; 10.1002/14651858.cd003590.pub3;; 10.1002/14651858.cd003590.pub4;; 10.2165/00002018-200225120-00002;; 10.2165/00003088-200544070-00002;; 10.1007/s00540-008-0659-6;; 10.1007/s00540-010-1034-y;; 10.1097/01.ccm.0000139761.05492.d6;; 10.1111/trf.12892;; 10.1097/00075198-200212000-00009;; 10.1002/14651858.cd007594.pub2;; 10.1002/14651858.cd007594.pub3;; 10.1017/s0265021506000639;; 10.1017/s026502150800447x;; 10.1007/s00134-007-0716-x;; 10.1007/s00134-008-1225-2;; 10.1007/s00134-009-1509-1;; 10.1002/bjs.5726;; 10.1002/bjs.9943;; 10.1081/jdi-100103493;; 10.1097/aln.0b013e3181a7ec82;; 10.1097/01.shk.0000225415.5969694.ce;; 10.1002/9781444319583.ch12;; 10.1002/9781444319583.ch14;; 10.1097/00000539-200203000-00011;; 10.1097/00000539-200209000-00007;; 10.1097/00000539-200302000-00014;; 10.1097/00000539-200407000-00080;; 10.1007/978-0-387-85922-4_15;; 10.1213/ane.0000000000005113,36
Which Countries Publish in Important Anesthesia and Critical Care Journals,10.1213/00000539-199905000-00038,05/01/1999,Joachim Boldt; Wolfgang H Malek; Katharina P Koetter,,05/01/1999,10/23/2020,10.1111/j.1365-2044.2010.06424.x;; 10.1111/j.1365-2044.2008.05475.x;; 10.1111/j.1365-2044.2009.06011.x;; 10.1186/1471-2253-11-24;; 10.1186/1471-2253-12-5;; 10.1007/s11192-007-1962-y;; 10.1007/s11192-016-2179-8;; 10.1007/978-88-470-2793-0_23;; 10.1046/j.0265-0215.2000.00793.x;; 10.1007/s00101-005-0892-4;; 10.1007/s00101-014-2298-7;; 10.1097/ccm.0b013e318186aec8;; 10.1007/s10792-008-9278-3;; 10.3171/jns.2004.100.1.0073;; 10.1002/bjs.5571;; 10.1213/ane.0b013e31818f0e89;; 10.1186/s40560-015-0106-3;; 10.1097/00003643-200103000-00011;; 10.1097/00003643-200805001-00733;; 10.1213/ane.0000000000003846;; 10.1034/j.1399-6576.2003.00105.x;; 10.1034/j.1399-6576.2003.00137.x,22
Structural styles and origin of the Dabashan foreland arcuate belt and basin-mountain system in central China,10.1016/j.jseaes.2019.03.002,03/04/2019,Kai Cui; Yixuan Wang,2920537051,03/04/2019,10/17/2020,10.1002/gj.4006,1
Men’s music ability and attractiveness to women in a real-life courtship context,10.1177/0305735613482025,05/01/2013,Nicolas Guéguen; Sébastien Meineri; Jacques Fischer-Lokou,2168925826,05/01/2013,07/15/2020;; 10/08/2020,10.1080/08098131.2015.1088057;; 10.1177/0265407519859440;; 10.1007/978-3-030-02556-4_10;; 10.1007/s40750-018-0103-6;; 10.1007/s40806-018-0147-7;; 10.1002/jocb.78;; 10.1371/journal.pone.0183531;; 10.1007/978-3-319-39666-8_12;; 10.3389/fpsyg.2019.02627,9
Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,10.1136/bmjpo-2019-000620,04/09/2020,Sadak Malik; Tarjei Tørre Asprusten; Maria Pedersen; Julie Mangersnes; Gro Trondalen; Betty van Roy; Eva Skovlund; Vegard Bruun Wyller,3015365171,04/09/2020,10/01/2020,,0
"Johannes Koder, Die Byzantiner: Kultur und Alltag im Mittelalter",10.1086/699870,10/01/2018,Spyros P Panagopoulos,,10/01/2018,10/01/2020,,0
Report of the Linacre Quarterly Survey: The Linacre Quarterly Committee,10.1177/0024363919863548,07/31/2019,Editorial Staff,2965282029,07/31/2019,09/29/2020,,0
Introduction,10.1163/15685349-12341340,07/14/2017,Frédéric Goubier; Magali Roques,,07/14/2017,09/04/2020,,0
"Thought-time, money-time and the conditions of free academic labour",10.1177/0961463X15577256,03/29/2015,Jeff Noonan,2318852949,03/29/2015,08/28/2020,10.1080/1070289x.2019.1599580;; 10.1108/jd-01-2020-0015;; 10.1177/0961463x20951679,3
A Companion to Latin Greece,10.1080/09503110.2018.1426701,03/15/2018,Spyros P Panagopoulos,2790857228,03/15/2018,08/11/2020,,0
Approaches to the Byzantine Family,10.1080/09503110.2016.1198537,08/22/2016,Spyros P Panagopoulos,2538432206,08/22/2016,08/11/2020,,0
"Byzantine Epirus: A Topography of Transformation. Settlement of the Seventh-Twelfth Centuries in Southern Epirus and Aetoloacarnania, Greece",10.1080/09503110.2015.1100830,01/05/2016,Spyros P Panagopoulos,2223733090,01/05/2016,08/11/2020,,0
"Byzantines, Latins, and Turks in the Eastern Mediterranean World after 1150",10.1080/09503110.2015.1100832,01/05/2016,Spyros P Panagopoulos,2226103934,01/05/2016,08/11/2020,,0
"Byzantium and the Emergence of Muslim-Turkish Anatolia, ca. 1040-1130",10.1080/09503110.2019.1614313,05/17/2019,Spyros P Panagopoulos,2945264000,05/17/2019,08/11/2020,,0
Diplomatics in the Eastern Mediterranean 1000–1500: Aspects of Cross-Cultural Communication,10.1080/09503110.2014.878439,03/03/2014,Spyros P Panagopoulos,2038868142,03/03/2014,08/11/2020,,0
Mediterranes Kaisertum und imperiale Ordnung: Das lateinische Kaiserreich von Konstantinopel,10.1080/09503110.2017.1379983,09/29/2017,Spyros P Panagopoulos,2791746640,09/29/2017,08/11/2020,,0
"Popular Muslim Reactions to the Franks in the Levant, 1097–1291: Alex Mallett, 2014, Burlington, VT: Ashgate 2014] ISBN 9781409456124",10.1080/09503110.2020.1712821,01/16/2020,Spyros P Panagopoulos,3095465662;;3094906880;;3000660814,01/16/2020,08/11/2020,,0
The Byzantine Turks: 1204–1461,10.1080/09503110.2016.1275635,02/07/2017,Spyros P Panagopoulos,2625364788,02/07/2017,08/11/2020,,0
The Eastern Mediterranean frontier of Latin Christendom,10.1080/09503110.2019.1567827,01/24/2019,Spyros P Panagopoulos,2912132268,01/24/2019,08/11/2020,,0
The Latin Renovatio of Byzantium. The Empire of Constantinople (1204–1228),10.1080/09503110.2014.915124,08/14/2014,Spyros P Panagopoulos,2046912113,08/14/2014,08/11/2020,,0
"The Military Orders, volume V: Politics and Power",10.1080/09503110.2015.1100831,01/05/2016,Spyros P Panagopoulos,2229603723,01/05/2016,08/11/2020,,0
"The Orthodox Church in the Arab World (700 –1700) Samuel Noble and Alexander Treiger (Eds), 2014 ISBN 978-0-87580-701-0",10.1080/09503110.2019.1662606,09/05/2019,Spyros P Panagopoulos,3083098215;;2972099468;;3083355252,09/05/2019,08/11/2020,,0
Wassily Kandinsky's The Yellow Sound as a Total Work of Art: Reception and Interpretation,10.5325/intelitestud.21.2.0218,02/01/2019,Robert James Cardullo,2953600464,02/01/2019,08/11/2020,,0
Wassily Kandinsky's The Yellow Sound as a Total Work of Art: Reception and Interpretation,10.2979/jmodelite.41.4.01,04/01/2018,Robert James Cardullo,3047048551,04/01/2018,08/06/2020,,0
"Well Begun Is Only Half Done: Tracing Aristotle's Political Ideas in Medieval Arabic, Syriac, Byzantine, and Jewish Sources",10.1080/09503110.2014.915123,08/19/2014,Spyros P Panagopoulos,2132335021,08/19/2014,08/11/2020,,0
"COVID-19 and the scaled-down 2020 Hajj Pilgrimage - Decisive, logical and prudent decision making by Saudi authorities overcomes pre-Hajj public health concerns",10.1016/j.ijid.2020.08.014,08/08/2020,Alimuddin Zumla; Esam I Azhar; Salah Alqahtani; Shuja Shafi; Ziad A Memish,,08/08/2020,08/08/2020,,0
"Diversity, Inclusion, and Equity: Evolution of Race and Ethnicity Considerations for the Cardiology Workforce in the United States of America From 1969 to 2019",10.1161/JAHA.120.015959,03/24/2020,Norman C Wang,3012845777,03/24/2020,08/06/2020,10.1161/jaha.119.014592;; 10.1161/jaha.119.014602;; 10.1161/jaha.120.018848;; 10.1161/jaha.120.019137;; 10.1161/jaha.120.019210,5
Albania’s Difficult Path towards Democracy,10.1163/22102396-04804005,12/01/2014,Teresa Maria Cierco,2058253270,12/01/2014,02/04/2019;; 07/16/2020,10.1007/978-3-030-46711-1_7,1
Declines in Religiosity Predict Increases in Violent Crime-but Not Among Countries With Relatively High Average IQ,10.1177/0956797619897915,01/21/2020,Cory J Clark; Bo M Winegard; Jordan Beardslee; Roy F Baumeister; Azim F Shariff,3002654673,01/21/2020,06/26/2020,10.1177/0956797620941482,1
Early Pioneers of the Americas: The Role of the Olmecs in Urban Education and Social Studies Curriculum,10.1007/s11256-020-00584-w,06/25/2020,Greg Wiggan; Annette Teasdell; Marcia J Watson-Vandiver; Sheikia Talley-Matthews,3037036691,06/25/2020,06/25/2020,,0
When did the «tribute of Dorpat» appear,10.21638/11701/spbu19.2019.211,01/01/2020,Philip Dmitrievich Podberyozkin,3011321304,01/01/2020,05/25/2020,,0
Quantic approach to mind-matter interaction,10.12032/life2020-0422-401,04/25/2020,Namik Kemal Mahallesi; Kampus Caddesi,3039835111,04/25/2020,05/20/2020,,0
Frontmatter,10.1515/9783110619768,01/01/2019,Anonymous,,01/01/2019,04/30/2020,,0
The Security Sector Reform in Macedonia: An Externally Driven Process,10.1163/18763332-0401025,12/08/2018,Teresa Maria Cierco,2462406092,12/08/2018,03/06/2020,10.1007/978-3-319-91412-1_7,1
Effectiveness of music therapy with relaxation technique on stress management as measured by perceived stress scale,10.1097/MD.0000000000015107,04/12/2019,Francisca N Ogba; Moses O Ede; Charity N Onyishi; Patricia U Agu; Amaka B Ikechukwu-Ilomuanya; Janet N Igbo; Nkechi Egenti; Ifeyinwa Manafa; Chijioke Amoke; Nneka C Nwosu; Faith C Omeke; Bernedeth N Nwafor; Kingsley C Amadi; Edith N Nwokenna; Samuel C Ugwoke,2939204210,04/12/2019,03/01/2020,10.1080/19349637.2019.1674236;; 10.1007/s10942-020-00342-7;; 10.11569/wcjd.v27.i22.1391;; 10.1097/md.0000000000019635,4
Gay on God’s Campus: Mobilizing for LGBT Equality at Christian Colleges and Universities,10.1093/socrel/srz006,04/06/2019,Dawne Moon,2928982297,04/06/2019,03/01/2020,,0
Randomized controlled evaluation of the effect of music therapy with cognitive-behavioral therapy on social anxiety symptoms,10.1097/MD.0000000000016495,08/01/2019,Nkechi T Egenti; Moses O Ede; Edith N Nwokenna; Theresa Oforka; Bonaventure N Nwokeoma; Daniel I Mezieobi; Sabastian O Onah; Kelechi R Ede; Chijioke Amoke; Edmund E Offordile; Ngozi E Ezeh; Celestine O Eze; Patrick E Eluu; Kingley C Amadi; Benedict E Ugwuanyi; Ngozi C Uzoagba; Grace O Ugwonna; Maduka L Nweke; Vera Victor-Aigbodion,2966994271,08/01/2019,03/01/2020,10.1177/1359457519888392;; 10.1097/md.0000000000019634;; 10.1007/s10942-020-00371-2;; 10.1097/md.0000000000021535,4
"Male Desire, Male Frustration … and Epiphany: Mamet’s Edmond as a Species of Supranaturalism",10.1080/0895769X.2017.1422425,01/18/2018,Robert James Cardullo,2792777921,01/18/2018,02/27/2020,,0
"Disruption, despair and renewal: impacts and voices of the Ukrainian geographical community about the 2014 Russian invasion",10.1080/04353684.2019.1692634,11/28/2019,Stanley D Brunn; Olena Dronova; Leonid Rudenko; Oleksandr Leiberiuk,2989757562,11/28/2019,02/10/2020,,0
"'Fraternal Socialism': The International Reconstruction of North Korea, 1953-62",10.1080/1462740500061160,05/01/2005,Charles K Armstrong,2087178820,05/01/2005,02/10/2020,10.1080/0803706x.2011.622786;; 10.1080/02665433.2018.1555770;; 10.1017/s0960777316000096;; 10.1080/14672715.2014.898453;; 10.1215/21581665-4339080;; 10.1215/9781478012603-001;; 10.1215/9781478012603-002;; 10.1215/9781478012603-003;; 10.1215/9781478012603-004;; 10.1215/9781478012603-005;; 10.1215/9781478012603-006;; 10.1215/9781478012603-007;; 10.1215/9781478012603-008;; 10.1215/9781478012603-009;; 10.1215/9781478012603-010;; 10.1215/9781478012603-011;; 10.1215/9781478012603-012;; 10.1215/9781478012603-013;; 10.1215/9781478012603-014;; 10.1215/9781478012603-015;; 10.1215/9781478012603-016;; 10.1215/9781478012603-017;; 10.1215/9781478012603-018,23
Is Media Information That Smoking Causes Illness a Self-Fulfilling Prophecy,10.2466/pr0.1989.65.1.177,08/01/1989,Ronald Grossarth-Maticek; Hans J Eysenck,2045270266,08/01/1989,02/10/2020,10.1136/bmj.304.6837.1295;; 10.1177/1359105318822045;; 10.1007/bf01857280,3
"Personality, Stress and Disease: Description and Validation of a New Inventory",10.2466/pr0.1990.66.2.355,04/01/1990,Ronald Grossarth-Maticek; Hans J Eysenck,1973632246,04/01/1990,02/10/2020,10.1136/bmj.304.6837.1295;; 10.1186/1751-0759-8-8;; 10.3200/socp.146.1.31-50;; 10.2466/pms.1990.71.1.199;; 10.2466/pms.71.5.199-209;; 10.2466/pr0.1991.68.3c.1083;; 10.2466/pr0.1991.69.3.1027;; 10.2466/pr0.1992.71.3f.1251;; 10.2466/pr0.1993.72.2.499;; 10.2466/pr0.1993.73.3.943;; 10.2466/pr0.1995.76.1.3;; 10.2466/pr0.1995.77.1.131;; 10.2466/pr0.1999.85.2.505;; 10.2466/pr0.67.7.1024-1026;; 10.2466/pr0.85.6.505-517;; 10.2478/prilozi-2018-0025;; 10.3748/wjg.15.2980;; 10.1186/s13030-016-0075-3;; 10.1097/psy.0b013e31828b5366;; 10.1097/00006842-199505000-00007;; 10.1097/00006842-199805000-00027;; 10.1007/s10447-004-0179-5;; 10.1007/978-1-4615-3850-9_61;; 10.1007/bf01721220;; 10.1007/s00520-015-2960-x;; 10.1024//0170-1789.23.1.29;; 10.1026//0033-3042.54.1.12;; 10.1007/978-3-7091-9374-7_6;; 10.1177/1359105304045339;; 10.1007/bf02691067;; 10.1002/(sici)1097-4679(200001)56:1<33::aid-jclp4>3.0.co;2-2;; 10.2169/internalmedicine.45.1453;; 10.1207/s15327965pli0203_14;; 10.1207/s15327965pli0203_21;; 10.1207/s15327965pli0203_7;; 10.1017/s113874160000665x;; 10.1121/1.1385178;; 10.1186/s40405-017-0023-6;; 10.1002/(sici)1099-0984(199712)11:5<319::aid-per304>3.0.co;2-d;; 10.1002/(sici)1099-0984(199712)11:5<359::aid-per307>3.0.co;2-0;; 10.1002/per.2410050203;; 10.1002/per.2410090202;; 10.1007/978-1-4614-9605-2_3;; 10.1007/bf01857280;; 10.1080/00207594.2013.763948;; 10.2753/rpo1061-0405480501;; 10.29252/nirp.ijpcp.23.4.408;; 10.1177/097133369200400202;; 10.3917/trav.009.0183;; 10.2466/pr0.1990.67.3.1024;; 10.1177/00332941930733pt101;; 10.1177/00332941930733pt134,52
Can Non-Muslim Courts bring Legal Change in Sharia Laws,10.5539/jpl.v12n4p1,10/30/2019,Hajed A Alotaibi,2982706811,10/30/2019,02/07/2020,,0
