cited_title,cited_doi,cited_publication_date,cited_author,cited_mag_id,cited_publication_year,cited_retraction_year,coci_citing_entities,coci_num_citations
"Estimation of flood environmental effects using flood zone mapping techniques in Halilrood Kerman, Iran",10.1186/s40201-014-0153-z,12/27/2014,Siamak Boudaghpour; Majid Bagheri; Zahra Bagheri,2297660434,12/27/2014,04/17/2015,10.1186/s40201-015-0182-2,1
Publishing in the Journal of Hydrologic Engineering,10.1061/(ASCE)HE.1943-5584.0001128,11/06/2014,Rao S Govindaraju; Richard H McCuen; Mohamed M Hantush,2102959681,11/06/2014,04/03/2015,,0
The Examples of the Studio Approach that Based on Metaphors,10.1016/j.sbspro.2015.01.949,02/12/2015,Emine Yildiz Kuyrukcu; Zafer Kuyrukcu,2317948615,02/12/2015,03/29/2015,,0
On the Illuminationist Approach to Imaginal Power: Outline of a Perspective,10.1007/s11245-007-9015-y,06/27/2007,Mahmoud Khatami,,06/27/2007,02/06/2015,10.3366/film.2016.0003,1
Absence et Subterfuge Modianesques,10.1007/s11059-012-0120-6,05/04/2012,Richard Lawrence Etienne Barnett,1976311747,05/04/2012,01/23/2015,,0
Apories Cioraniennes,10.1007/s11059-010-0081-6,01/07/2011,Richard Lawrence Etienne Barnett,2086454617,01/07/2011,01/23/2015,,0
Autopsies du Centre,10.1007/s11059-010-0065-6,10/22/2010,Richard Lawrence Etienne Barnett,2098040826,10/22/2010,01/23/2015,,0
Aux Alentours du néant: Propos sur L’anodin,10.1007/s11059-013-0186-9,05/02/2013,Richard Lawrence Etienne Barnett,2055310065,05/02/2013,01/23/2015,10.1007/s11059-014-0235-z,1
Désignifier au Pluriel: Les épreuves du labyrinthe générique,10.1007/s11059-014-0235-z,07/26/2014,Richard Lawrence Etienne Barnett,71918092,07/26/2014,01/23/2015,,0
Les Enjeux de la Parole,10.1007/s11059-008-4013-7,10/28/2008,Richard Lawrence Etienne Barnett,2021256628,10/28/2008,01/23/2015,10.1007/s11059-013-0186-9,1
Les épreuves du Labyrinthe Rochien,10.1007/s11059-011-0111-z,08/30/2011,Richard Lawrence Etienne Barnett,2056529847,08/30/2011,01/23/2015,,0
Of Difference Contrived: The Semiotics of Sameness in J.-K. Huysmans’ A Rebours,10.1007/s11059-007-1013-y,06/01/2007,Richard Lawrence Etienne Barnett,1980668831,06/01/2007,01/23/2015,,0
Paroles à la Dérive,10.1007/s11059-013-0232-7,02/14/2014,Richard Lawrence Etienne Barnett,148879963,02/14/2014,01/23/2015,,0
Sur l’émiettement chaotique du sens,10.1007/s11059-008-3007-9,06/07/2008,Richard Lawrence Etienne Barnett,1975165512,06/07/2008,01/23/2015,,0
The Semiotics of “Transit” in Joyce’s Ulysses,10.1007/s11059-009-1015-z,05/19/2009,Richard Lawrence Etienne Barnett,2069100767,05/19/2009,01/23/2015,,0
Cioran et le gouffre temporel,10.1075/rro.44.1.05bar,03/24/2009,Richard Lawrence Etienne Barnett,2059906447,03/24/2009,01/01/2015,,0
Jeux transgressifs: Sur les egarements rochiens,10.1075/rro.46.1.06bar,06/27/2011,Richard Lawrence Etienne Barnett,2041504913,06/27/2011,01/01/2015,,0
La Parole Monstrueuse,10.1007/s11059-006-0032-4,12/01/2006,Richard Lawrence Etienne Barnett,163368859,12/01/2006,01/01/2015,,0
Le mythe de l’éminence grise. Sémiotique du sous-texte paulhanien,10.1484/J.LLR.1.102300,01/01/2011,Richard Lawrence Etienne Barnett,2177948731,01/01/2011,01/01/2015,,0
Le postmoderne a la derive: parcours dubouchettien,10.3366/nfs.2004-3.003,06/01/2012,Richard Lawrence Etienne Barnett,2284482428,06/01/2012,01/01/2015,,0
Les enjeux de l’irrepresentable,10.1111/j.1600-0811.2004.00005.x,05/25/2004,Richard Lawrence Etienne Barnett,2028175373,05/25/2004,01/01/2015,,0
L'interminable depart: topos de l'evanescence rimbaldienne,10.1111/j.1600-0811.2007.420206.x,12/27/2007,Richard Lawrence Etienne Barnett,1974144136,12/27/2007,01/01/2015,,0
Mélanges: La guerre du goût,10.1111/j.1600-0811.2004.00016.x,10/15/2004,Richard Lawrence Etienne Barnett,2048085111,10/15/2004,01/01/2015,,0
Paroles Disloquées,10.1007/s11059-013-0210-0,07/11/2013,Richard Lawrence Etienne Barnett,81798602,07/11/2013,01/01/2015,,0
Poetique de la fuite. Parcours rimbaldiens,10.1484/J.LLR.3.154,01/01/2007,Richard Lawrence Etienne Barnett,2473705119,01/01/2007,01/01/2015,,0
Poetique de la rupture spectrale: Hantise et ressassement,10.1075/rro.48.1.06eti,06/21/2013,Richard Lawrence Etienne Barnett,2041825815,06/21/2013,01/01/2015,,0
Sur la poetique circonstancielle : micro-lecture dubouchettienne,10.1111/j.1600-0811.2004.00016.x,10/15/2004,Richard Lawrence Etienne Barnett,2048085111,10/15/2004,01/01/2015,,0
Transpositions architecturale chez Bosco,10.1484/J.LLR.3.186,01/01/2009,Richard Lawrence Etienne Barnett,2336781877,01/01/2009,01/01/2015,,0
Sacred psychiatry in ancient Greece,10.1186/1744-859X-13-11,04/12/2014,Georgios Tzeferakos; Athanasios Douzenis,1493514376,04/12/2014,11/26/2014,10.1186/s12991-014-0030-2;; 10.1007/978-3-030-12584-4_2;; 10.1007/978-3-030-39335-9_1,3
Impact of Spiritual Leadership on Unit Performance,10.1016/j.leaqua.2011.02.002,04/01/2011,Louis W Fry; Sean T Hannah; Michael Noel; Frederick O Walumbwa,1968685498,04/01/2011,04/27/2012;; 07/30/2014;; 10/01/2014,10.1080/14766086.2012.758054;; 10.1080/14766086.2013.801026;; 10.1080/14766086.2013.836127;; 10.1080/14766086.2014.886518;; 10.1080/14766086.2014.933709;; 10.1080/14766086.2017.1315316;; 10.1080/14779633.2017.1378453;; 10.1146/annurev-orgpsych-031413-091312;; 10.1007/s10943-015-0074-x;; 10.1177/2322093717736134;; 10.21484/kros.2013.10.2.29;; 10.21484/kros.2018.15.2.1;; 10.3389/fpsyg.2018.02627;; 10.1002/job.1921;; 10.1590/1679-395110386;; 10.1007/978-94-007-7463-6_2;; 10.5812/ircmj.55930;; 10.1111/jonm.12398;; 10.1111/jonm.12810;; 10.1186/s12913-017-2050-5;; 10.1007/s10551-012-1370-y;; 10.1007/s10551-013-1847-3;; 10.1007/s10551-015-2796-9;; 10.18211/kjhrdq.2015.17.4.003;; 10.1177/1548051811429352;; 10.1108/ijcthr-03-2015-0012;; 10.1108/ijoa-04-2019-1733;; 10.1007/978-3-319-14908-0_9;; 10.21666/muefd.325111;; 10.4018/978-1-5225-3132-6.ch010;; 10.4018/978-1-5225-6980-0.ch003;; 10.4018/978-1-5225-9893-0.ch003;; 10.1080/10508422.2017.1318069;; 10.1007/978-3-319-61929-3_26-1;; 10.1007/978-3-319-61929-3_43-1;; 10.1007/978-3-319-62163-0_26;; 10.1007/978-3-319-62163-0_43;; 10.1108/ijoem-11-2017-0495;; 10.1108/jeas-03-2016-0005;; 10.1108/jocm-01-2015-0009;; 10.1108/jocm-07-2015-0105;; 10.1108/jocm-11-2012-0186;; 10.1177/0972262919840216;; 10.1177/105268461302300603;; 10.1108/lodj-04-2014-0078;; 10.1108/mip-06-2016-0087;; 10.1111/ijcs.12438;; 10.1007/978-3-030-13984-1_1;; 10.1891/1061-3749.26.2.364;; 10.1108/tlo-08-2011-0046;; 10.3390/rel6020594;; 10.1177/0971685816650573;; 10.1177/0971685816689741;; 10.1080/17439760.2013.776622;; 10.1007/s10551-019-04358-7;; 10.1108/jima-08-2018-0140;; 10.1108/jabs-03-2018-0089;; 10.1080/14766086.2020.1728568;; 10.1177/0887302x20926573,59
The Elusive Object and the Fading Craft of Theatre Criticism: A Conversation with Gordon Rogoff,10.1353/dtc.2010.0005,09/01/2010,Robert James Cardullo,2106217469,09/01/2010,08/20/2014,,0
The Man Who Would Be Hated: An Interview with John Simon,10.1353/dtc.2009.0001,09/01/2009,Robert James Cardullo,2180891184,09/01/2009,08/20/2014,,0
Who will carry the word? The threshold between unspeakability and silence in the Holocaust narratives of Charlotte Delbo and Jorge Semprun,10.1080/13825571003588429,04/07/2010,Esther Sanchez-Pardo,1998176099,04/07/2010,07/24/2014,10.1075/ceb.10.15sch;; 10.1525/irqr.2011.4.4.431,2
"Warlords, priests and the politics of ethnic cleansing: a case-study from rural Bosnia Hercegovina",10.1080/014198700329114,12/07/2010,Mart Bax,2097384229,12/07/2010,03/28/2014,10.1080/13691830601154294;; 10.1057/9781137330727_7;; 10.1111/j.1354-5078.2005.00213.x;; 10.7767/boehlau.9783205791959.309;; 10.7767/boehlau.9783205793625.319;; 10.1177/0309132507087647;; 10.7202/014427ar;; 10.1177/1463499605050866;; 10.1177/1468797615588425;; 10.1177/1468797616635371;; 10.1080/14623520305660;; 10.1080/00343400050192856;; 10.1002/casp.699;; 10.1177/1750698016650485;; 10.1002/9781118257203.ch15;; 10.1080/09668136.2011.547697;; 10.1017/s1755048314000789;; 10.1080/01419870.2011.535548;; 10.1080/01419870.2011.556748;; 10.1080/01419870.2010.522245;; 10.3390/rel9070213;; 10.1590/s0104-71832013000200016,22
"The Farceur as Modernist: Fernand Crommelynck, The Magnanimous Cuckold, and Twentieth-Century Western Drama",10.1353/dtc.2013.0033,09/01/2013,Robert James Cardullo,2056789008,09/01/2013,02/09/2014,,0
"Cinema as ‘social documentary’: The film theory of André Bazin, revisited",10.1386/sfc.13.1.33_1,01/01/2013,Robert James Cardullo,1974627684,01/01/2013,01/23/2014,10.1007/978-3-030-45901-7_1,1
The Study of Quality of Life: Interview with Konstadina Griva,10.5964/ejop.v9i1.582,02/01/2013,Paraskevi Theofilou,1568636095,02/01/2013,11/01/2013,,0
Earth Architecture in the World,10.1016/j.sbspro.2013.08.841,10/10/2013,Hamed Niroumand; M F M Zain; Maslina Jamil,1994283215,10/10/2013,10/24/2013,,0
A catalog of aftershock sequences in Greece (1998–2008) and their spatial and temporal characteristics,10.1007/s10950-012-9310-y,06/04/2012,Ioannis Baskoutas; Dimitrios Papanastassiou,1985381573,06/04/2012,07/01/2013,,0
Letzte Hoffnung,10.1016/j.scoms.2013.04.032,01/01/2013,Anonymous,,01/01/2013,06/19/2013,,0
Scientific yellow journalism,10.4161/sgtp.22289,09/20/2012,Anica Klockars; Michael J Williams,1990793074,09/20/2012,04/01/2013,,0
Terror Management and Stereotyping: Why Do People Stereotype When Mortality Is Salient?,10.1177/0146167207312465,04/01/2008,Lennart J Renkema; Diederik A Stapel; Marcus Maringer; Nico W van Yperen,2137877549,04/01/2008,02/05/2013,10.3758/s13423-011-0211-9;; 10.1093/scan/nsp041;; 10.1177/0146167208329630;; 10.1080/03601277.2011.595335;; 10.1111/j.1751-9004.2010.00304.x;; 10.1126/science.1201068;; 10.1002/ejsp.818;; 10.1080/10615806.2016.1138288;; 10.1177/1088868309352321;; 10.1111/j.1467-9280.2009.02414.x;; 10.1521/soco.2009.27.6.929;; 10.1521/soco.2011.29.3.238;; 10.1080/17513057.2017.1280525;; 10.1080/15298868.2020.1737569;; 10.1177/0030222820928148,15
Islam and Post-Modernism: Locating the Rise of Islamism in Turkey,10.1093/jis/etp023,06/26/2009,Anwar Alam,1840656621,06/26/2009,12/21/2012,10.1007/s11205-013-0247-5;; 10.5339/messa.2014.5;; 10.1080/02185377.2020.1741415,3
"Empire, Bare Life and the Constitution of Whiteness: Sovereignty in the Age of Terror",10.1007/s10691-012-9194-9,03/31/2012,Sunera Thobani,2208792313,03/31/2012,09/01/2012,,0
"Look Back in Bemusement: The New American Cinema, 1965-1970",10.1093/camqtly/bfn023,12/01/2011,Robert James Cardullo,2171319101,12/01/2011,09/01/2012,,0
Specification and Verification of Dynamic Evolution of Software Architectures,10.1016/j.sysarc.2010.08.005,10/01/2010,Xu Hongzhen; Zeng Guosun,2072889134,10/01/2010,09/01/2012,10.1109/sbcars.2013.24;; 10.1109/sbcars.2014.18,2
Death of a Salesman and Arthur Miller's Religious Identity,10.1080/14725886.2012.646706,04/11/2012,Robert James Cardullo,2040293513,04/11/2012,08/31/2012,,0
Geo-Genealogy of Irish Surnames,10.4113/jom.2010.1128,06/01/2010,Kenneth S Field; Linda Beale,2046915955,06/01/2010,05/18/2012,10.4113/jom.2010.1171,1
Mapping the relationship between transport energy consumption and urban form characteristics for the Greater Dublin Area,10.4113/jom.2010.1074,06/01/2010,John Carty; Aoife Ahern,2050036847,06/01/2010,05/18/2012,10.4113/jom.2010.1140;; 10.1088/0031-8949/84/02/025801;; 10.1080/17538947.2012.740079,3
Schematic visualisation of ski resort trails,10.4113/jom.2009.1045,05/01/2009,Kenneth S Field,2119532892,05/01/2009,05/18/2012,10.1080/17445647.2015.1088482,1
Investigating the need of nuclear power plants for sustainable energy in Iran,10.1016/j.rser.2011.05.014,07/16/2011,Afshin Mazandarani; T M I Mahlia; W T Chong; M Moghavvemi,2089268500,07/16/2011,11/25/2011,,0
"Play Doctor, Doctor Death: Shaw, Ibsen, and Modern Tragedy",10.1353/cdr.2011.0017,09/01/2011,Robert James Cardullo,2156554682,09/01/2011,11/17/2011,10.3366/iur.2012.0039,1
The Angelic Doctor and the Stagirite: Thomas Aquinas and Contemporary ‘Aristotelian’ Ethics,10.1111/j.0066-7372.2003.00023.x,06/01/2001,Martin William Francis Stone,2158392555,06/01/2001,10/01/2011,10.1007/978-94-007-6510-8_83,1
On generation and development of railway elementary education in China (from 1898 to 1949),10.1109/AIMSEC.2011.6009702,08/08/2011,Meiyan Ding,1532326596,08/08/2011,09/06/2011,,0
On innovative art professionals cultivation in Higher Art Education,10.1109/AIMSEC.2011.6010607,08/08/2011,Ran Yu,1549924153,08/08/2011,09/06/2011,,0
On the destruction of spiritual culture in university,10.1109/AIMSEC.2011.6009712,08/08/2011,Wendong Wang,1505668912,08/08/2011,09/06/2011,,0
"Religion, culture and male involvement in the use of family planning: evidence from Enugu and Katsina States of Nigeria",10.1111/j.1466-7657.2011.00900.x,06/02/2011,C Ujuju; J Anyanti; S B Adebayo; F Muhammad; O Oluigbo; A Gofwan,2152885147,06/02/2011,09/06/2011,10.12968/ajmw.2016.10.3.120;; 10.1016/j.ijgo.2012.12.010;; 10.1101/19010587;; 10.2147/oajc.s274570,4
Thought styles and paradigms: A comparative study of Ludwik Fleck and Thomas S. Kuhn,10.1016/j.shpsa.2011.02.001,04/09/2011,Nicola Mößner,2003175046,04/09/2011,09/01/2011,10.1007/s10670-016-9815-9;; 10.1007/978-3-030-01018-8_4;; 10.1007/s40656-018-0206-1;; 10.1080/17522439.2013.845593,4
Animated character design innovation for animation industry development,10.1109/ICPIM.2011.5983694,07/16/2011,Tao Ran,1572022292,07/16/2011,08/15/2011,,0
Exploration on product brand innovation under creative management,10.1109/ICPIM.2011.5983654,07/16/2011,He Fang; Hu Qi,1515920080,07/16/2011,08/15/2011,,0
Research on limitation of knowledge,10.1109/ICPIM.2011.5983659,07/16/2011,Wang Huawei; Lou Ping,1576665656,07/16/2011,08/15/2011,,0
Research on product innovation design based on knowledge,10.1109/ICPIM.2011.5983671,07/16/2011,Guo Fang,1674142952,07/16/2011,08/15/2011,,0
Research on the exhibition design strategy based on exhibition value system,10.1109/ICPIM.2011.5983620,07/16/2011,Wang Min; Xie Jialong,1560328276,07/16/2011,08/15/2011,,0
