citation,volume,title,page,reference,citation_count,oa_link,author,doi,issue,source_title,source_id,year
"","33","Retracted Book Review: Cloning The War On Terror","x-xii","","0","","Weil, Harry J.","10.1080/09502386.2012.658076","5","Cultural Studies","issn:0950-2386; issn:1466-4348","2012"
"","10","A Daily Dose Of Humanities","341-342","","0","https://www.jgme.org/doi/pdf/10.4300/JGME-D-17-00910.1","Potyk, Darryl; Swanson, Judy; Benson, Judy","10.4300/jgme-d-17-00910.1","3","Journal Of Graduate Medical Education","issn:1949-8349; issn:1949-8357","2018"
"","390","Retracted: A Check-Up On Canada'S Health System","2341-2342","","0","https://doi.org/10.1016/s0140-6736(17)32871-4","Wasan, Kishor M; Wasan, Ellen K; Kalra, Jawahar","10.1016/s0140-6736(17)32871-4","10110","The Lancet","issn:0140-6736","2017"
"","5","[Retracted] A Discourse Analysis Of German Fairy Tale “Rapunzel” Written By The Brothers Grimm","219","","0","https://ethicallingua.org/25409190/article/download/10/6","Syam, Andi Tenrisanna","10.30605/ethicallingua.v5i2.1037","2","Ethical Lingua: Journal Of Language Teaching And Literature","issn:2540-9190; issn:2355-3448","2018"
"","30","Autumn Interiors, Or The Ladies Eve: Woody Allen'S Ingmar Bergman-Complex","387-399","","0","","Cardullo, Bert","10.1177/004724410003012003","120","Journal Of European Studies","issn:0047-2441; issn:1740-2379","2000"
"","27","The American Marshall Plan Film Campaign And The Europeans: A Captivated Audience?","386-387","","0","","Parkes, Stuart","10.1080/14782804.2018.1541673","3","Journal Of Contemporary European Studies","issn:1478-2804; issn:1478-2790","2018"
"","42","Withdrawn–Administrative Duplicate Publication The Effects Of Windblown Sand On The Deterioration Of Mural Paintings In Cave 285, In Mogao Caves, Dunhuang","NP1-NP20","10.1006/jare.2000.0748; 10.1007/s00254-006-0281-6; 10.1007/s10064-004-0239-4; 10.1016/j.gr.2013.08.017; 10.1038/srep04341; 10.4028/www.scientific.net/amm.461.469","0","","Mikayama, Akane; Hokoi, Shuichi; Ogura, Daisuke; Okada, Ken; Su, Bomin","10.1177/1744259118773387","5","Journal Of Building Physics","issn:1744-2591; issn:1744-2583","2018"
"","60","The Princess Of Polka Dots: Using Art As A Medium To Cope With Hallucinations","156","","0","https://doi.org/10.4103/psychiatry.indianjpsychiatry_149_18","Suma, Kv; Chandran, Suhas; Sathyanarayana Rao, Ts","10.4103/psychiatry.indianjpsychiatry_149_18","1","Indian Journal Of Psychiatry","issn:0019-5545","2018"
"","123","Retracted: Photophysics Of Artist’S Pigments","293-297","","0","http://discovery.ucl.ac.uk/10064515/1/AuthAccMs%20-%20Photophysics%20of%20Artists%20Pigments.pdf","Accorsi, Gianluca; Verri, Giovanni; Acocella, Angela; Saunders, David; De Fonjaudran, Charlotte Martin; Tamburini, Diego; Rava, Amarilli; Whittaker, Samuel; Zerbetto, Francesco","10.1016/j.measurement.2018.03.082","","Measurement","issn:0263-2241","2018"
"","43","Withdrawn: Fundamentals Of Electronic Resources Management","550","","0","","","10.1016/j.acalib.2017.09.010","6","The Journal Of Academic Librarianship","issn:0099-1333","2017"
"10.1109/icalip.2014.7009911","","Notice Of Retraction: The Study On Simulating Binaural Room Impulse Response","","10.1121/1.412407; 10.1121/1.423953","1","","Guo, Tian-Kui; Zhao, Yue-Zhe; Guo, Tian-Kui","10.1109/iccsit.2010.5564505","","2010 3Rd International Conference On Computer Science And Information Technology","","2010"
"","","Retracted Article: Wassily Kandinsky’S The Yellow Sound As A Total Work Of Art","","","0","https://link.springer.com/content/pdf/10.1007%2Fs11059-017-0384-y.pdf","Cardullo, R. J., 0000-0001-5769-0864","10.1007/s11059-017-0384-y","","Neohelicon","issn:0324-4652; issn:1588-2810","2017"
"","32","For There Is Work To Be Done: Poetry And Commentary","245-250","","0","","Reisman, Jonathan; Nigliazzo, Stacy; Buckley, Sarah; Childers, Ryan; Shafer, Audrey","10.1007/s10912-011-9141-9","3","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2011"
"","36","Retracted Article: People Say There Are No Accidents: Poetry And Commentary","405-405","","0","https://link.springer.com/content/pdf/10.1007%2Fs10912-009-9096-2.pdf","Gardner, Caleb; Golestaneh, Ladan; Dhillon, Baljean; Shafer, Audrey","10.1007/s10912-009-9096-2","4","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2010"
"","36","Retracted Article: Seasons","403-403","","0","https://link.springer.com/content/pdf/10.1007%2Fs10912-010-9122-4.pdf","Reisman, Jonathan","10.1007/s10912-010-9122-4","4","Journal Of Medical Humanities","issn:1041-3545; issn:1573-3645","2010"
"10.1177/0305735617748205; 10.1177/0305735618755887; 10.1177/0146167217703064; 10.1002/jcop.21949; 10.1080/13676261.2016.1260696; 10.1002/ab.21492; 10.1002/ab.21531; 10.1002/ab.21668; 10.1002/acp.3084; 10.1002/9781119057574.whbva121; 10.1027/1864-1105/a000144; 10.1371/journal.pone.0144384; 10.1111/asap.12107; 10.1177/2059204317743118","47","The Effect Of Auditory Versus Visual Violent Media Exposure On Aggressive Behaviour: The Role Of Song Lyrics, Video Clips And Musical Tone","794-799","","14","","Brummert Lennings, Heidi I.; Warburton, Wayne A.","10.1016/j.jesp.2011.02.006","4","Journal Of Experimental Social Psychology","issn:0022-1031","2011"
"","6","Retracted Article: Two Thinks At A Time","345-356","10.2307/2935377","0","","Marrouchi, Mustapha","10.1080/14788810903264795","3","Atlantic Studies","issn:1478-8810; issn:1740-4649","2009"
"","55","Errance Et Transgressions Raciniennes: Pour Une Nouvelle Sémiotique Du Discours Tragique","3-14","10.1093/fs/34.4.385; 10.1111/j.1600-0730.1980.tb00767.x; 10.1484/j.llr.4.00343; 10.1515/semi.1984.51.1-3.71; 10.2307/3731948; 10.3366/nfs.1978-2.001; 10.3406/litt.1979.2118","0","","Barnett, Richard-Laurent","10.1080/00397700109598531","1","Symposium: A Quarterly Journal In Modern Literatures","issn:0039-7709; issn:1931-0676","2001"
"","53","Le Simulacre Inaugural Micro-Lecture Camusienne","59-68","","0","","Barnett, Richard-Laurent","10.1080/00397709909598513","2","Symposium: A Quarterly Journal In Modern Literatures","issn:0039-7709; issn:1931-0676","1999"
"","39","Retracted Article: Absence Et Subterfuge Modianesques","73-87","","0","","Barnett, R.-L. Etienne","10.1007/s11059-012-0120-6","1","Neohelicon","issn:0324-4652; issn:1588-2810","2012"
"","38","Retracted Article: Apories Cioraniennes","177-185","","0","","Etienne Barnett, R.-L.","10.1007/s11059-010-0081-6","1","Neohelicon","issn:0324-4652; issn:1588-2810","2011"
"","37","Retracted Article: Autopsies Du Centre","479-487","10.1086/448833","0","","Etienne Barnett, R.-L.","10.1007/s11059-010-0065-6","2","Neohelicon","issn:0324-4652; issn:1588-2810","2010"
"10.1007/s11059-014-0235-z","40","Retracted Article: Aux Alentours Du Néant: Propos Sur L’Anodin","99-114","10.1007/s11059-008-4013-7; 10.3917/lafab.ranci.2000.01","1","","Barnett, R.-L. Etienne","10.1007/s11059-013-0186-9","1","Neohelicon","issn:0324-4652; issn:1588-2810","2013"
"","42","Retracted Article: Désignifier Au Pluriel","363-363","10.1007/s11059-013-0186-9; 10.3406/litt.1974.1091","0","","Barnett, R.-L. Étienne","10.1007/s11059-014-0235-z","1","Neohelicon","issn:0324-4652; issn:1588-2810","2014"
"","38","Retracted Article: Les Épreuves Du Labyrinthe Rochien","457-464","","0","","Etienne Barnett, R.-L.","10.1007/s11059-011-0111-z","2","Neohelicon","issn:0324-4652; issn:1588-2810","2011"
"","34","Retracted Article: Of Difference Contrived: The Semiotics Of Sameness In J.-K. Huysmans’ A Rebours","137-143","10.1093/fmls/xxii.4.365; 10.2307/2930295; 10.3406/roman.1984.4704","0","","Barnett, Richard-Laurent","10.1007/s11059-007-1013-y","1","Neohelicon","issn:0324-4652; issn:1588-2810","2007"
"","41","Retracted Article: Paroles À La Dérive","129-143","","0","","Barnett, R.-L. Etienne","10.1007/s11059-013-0232-7","1","Neohelicon","issn:0324-4652; issn:1588-2810","2014"
"","35","Retracted Article: Sur L’Emiettement Chaotique Du Sens Essai De Rétrospection","97-105","","0","","Etienne Barnett, R. -L.","10.1007/s11059-008-3007-9","1","Neohelicon","issn:0324-4652; issn:1588-2810","2008"
"","36","Retracted Article: The Semiotics Of “Transit” In Joyce’S Ulysses","153-166","","0","","Etienne Barnett, R. -L.","10.1007/s11059-009-1015-z","1","Neohelicon","issn:0324-4652; issn:1588-2810","2009"
"","44","Cioran Et Le Gouffre Temporel","83-93","","0","","Barnett, R.-L. Etienne","10.1075/rro.44.1.05bar","1","Revue Romane Langue Et Littérature. International Journal Of Romance Languages And Literatures - Revue Romane","issn:0035-3906; issn:1600-0811","2009"
"","46","Jeux Transgressifs: Sur Les Égarements Rochiens","127-135","","0","","Barnett, R.-L. Etienne","10.1075/rro.46.1.06bar","1","Revue Romane Langue Et Littérature. International Journal Of Romance Languages And Literatures - Revue Romane","issn:0035-3906; issn:1600-0811","2011"
"","33","Retracted Article: La Parole Monstrueuse","165-178","","0","","Barnett, Richard-Laurent","10.1007/s11059-006-0032-4","2","Neohelicon","issn:0324-4652; issn:1588-2810","2006"
"","65","Le Mythe De L’Éminence Grise. Sémiotique Du Sous-Texte Paulhanien","45-66","","0","","Barnett, R.-L. Etienne","10.1484/j.llr.1.102300","1-2","Les Lettres Romanes","issn:0024-1415; issn:2295-8991","2011"
"","43","Notice Of Retraction:Le Postmoderne À La Dérive: Parcours Debouchettien","23-34","","0","","Barnett, Richard-Laurent","10.3366/nfs.2004-3.003","3","Nottingham French Studies","issn:0029-4586; issn:2047-7236","2004"
"","39","Les Enjeux De L'Irrepresentable. Alterite Et(Dis)Solution Michaudiennes","97-114","","0","","Barnett, Richard-Laurent","10.1111/j.1600-0811.2004.00005.x","1","Revue Romane","issn:0035-3906; issn:1600-0811","2004"
"","42","L'Interminable Départ: Topos De L'Évanescence Rimbaldienne","271-282","","0","","Barnett, R.-L. Etienne","10.1111/j.1600-0811.2007.420206.x","2","Revue Romane","issn:0035-3906","2007"
"","39","Melanges : La Guerre Du Gout. Pour Un Nouveau Paradigme","315-322","","0","","Barnett, Richard-Laurent","10.1111/j.1600-0811.2004.00016.x","2","Revue Romane","issn:0035-3906; issn:1600-0811","2004"
"","40","Retracted Article: Paroles Disloquées","509-520","10.14375/np.9782070119875; 10.3917/puf.trevi.2001.01","0","","Barnett, R.-L. Etienne","10.1007/s11059-013-0210-0","2","Neohelicon","issn:0324-4652; issn:1588-2810","2013"
"","61","Poétique De La Fuite. Parcours Rimbaldiens","35-45","","0","","Barnett, R.-L. Etienne","10.1484/j.llr.3.154","1-2","Les Lettres Romanes","issn:0024-1415; issn:2295-8991","2007"
"","48","Poétique De La Rupture Spectrale: Hantise Et Ressassement","119-130","","0","","Barnett, R.-L. Etienne","10.1075/rro.48.1.06eti","1","Revue Romane Langue Et Littérature. International Journal Of Romance Languages And Literatures - Revue Romane","issn:0035-3906; issn:1600-0811","2013"
"","39","Melanges : La Guerre Du Gout. Pour Un Nouveau Paradigme","315-322","","0","","Barnett, Richard-Laurent","10.1111/j.1600-0811.2004.00016.x","2","Revue Romane","issn:0035-3906; issn:1600-0811","2004"
"","63","Transpositions Architecturale Chez Bosco","79-94","","0","","Barnett, R.-L. Etienne","10.1484/j.llr.3.186","1-2","Les Lettres Romanes","issn:0024-1415; issn:2295-8991","2009"
"","25","The Elusive Object And The Fading Craft Of Theatre Criticism: A Conversation With Gordon Rogoff","99-108","","0","https://journals.ku.edu/jdtc/article/download/4103/3887","Cardullo, Bert","10.1353/dtc.2010.0005","1","Journal Of Dramatic Theory And Criticism","issn:2165-2686","2010"
"","24","The Man Who Would Be Hated: An Interview With John Simon","23-39","","0","https://journals.ku.edu/jdtc/article/download/4373/4101","Cardullo, Bert; Simon, John","10.1353/dtc.2009.0001","1","Journal Of Dramatic Theory And Criticism","issn:2165-2686","2009"
"","28","The Farceur As Modernist: Fernand Crommelynck, The Magnanimous Cuckold, And Twentieth-Century Western Drama","23-34","","0","","Cardullo, Bert","10.1353/dtc.2013.0033","1","Journal Of Dramatic Theory And Criticism","issn:2165-2686","2013"
"","13","Cinema As ‘Social Documentary’: The Film Theory Of André Bazin, Revisited","33-46","","0","","Cardullo, Robert J.","10.1386/sfc.13.1.33_1","1","Studies In French Cinema","issn:1471-5880; issn:1758-9517","2013"
"","13","Retracted: Letzte Hoffnung","94","","0","https://doi.org/10.1016/j.scoms.2013.04.032","","10.1016/j.scoms.2013.04.032","1","Studies In Communication Sciences","issn:1424-4896","2013"
"","37","This Article Has Been Retracted","375-386","","0","https://academic.oup.com/camqtly/article-pdf/37/4/375/1067551/bfn023.pdf","","10.1093/camqtly/bfn023","4","The Cambridge Quarterly","issn:0008-199X; issn:1471-6836","2008"
"","11","Death Of A Salesmanand Arthur Miller'S Religious Identity","127-130","","0","","Cardullo, Robert","10.1080/14725886.2012.646706","1","Journal Of Modern Jewish Studies","issn:1472-5886; issn:1472-5894","2012"
"10.3366/iur.2012.0039","45","Play Doctor, Doctor Death: Shaw, Ibsen, And Modern Tragedy","271-288","","1","","Cardullo, Bert","10.1353/cdr.2011.0017","3","Comparative Drama","issn:1936-1637","2011"
"","","Notice Of Retraction: On Innovative Art Professionals Cultivation In Higher Art Education","","","0","","Yu, Ran","10.1109/aimsec.2011.6010607","","2011 2Nd International Conference On Artificial Intelligence, Management Science And Electronic Commerce (Aimsec)","","2011"
"","","Notice Of Retraction: Animated Character Design Innovation For Animation Industry Development","","","0","","Ran, Tao","10.1109/icpim.2011.5983694","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"","","Notice Of Retraction: Exploration On Product Brand Innovation Under Creative Management","","","0","","Fang, He; Qi, Hu","10.1109/icpim.2011.5983654","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"","","Notice Of Retraction: Research On Product Innovation Design Based On Knowledge","","10.1111/j.1948-7169.2004.tb00151.x; 10.1145/1868914.1869041","0","","Fang, Guo","10.1109/icpim.2011.5983671","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"","","Notice Of Retraction: Research On The Exhibition Design Strategy Based On Exhibition Value System","","","0","","Min, Wang; Jialong, Xie","10.1109/icpim.2011.5983620","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"","","Notice Of Retraction: Research On The Innovation And Management Of Students' Practical Ability In Art Design Using Appraisal System","","10.1016/j.bushor.2004.10.025; 10.1108/eb008228; 10.1109/sfcs.2005.12","0","","Song, Xinjuan; Zhu, Yanmei","10.1109/icpim.2011.5983698","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"","","Notice Of Retraction: Study On The Design Characteristics Of Time-Keeping Tools","","","0","","Junli, Zhang","10.1109/icpim.2011.5983724","","2011 International Conference On Product Innovation Management (Icpim 2011)","","2011"
"10.1097/hnp.0000000000000041; 10.1111/jan.12380; 10.1089/acm.2015.0304; 10.1111/jnu.12082; 10.1111/nhs.12238; 10.1177/1471301213514419; 10.1002/14651858.cd010459.pub2; 10.1007/s10072-017-2878-9","20","Retracted: A Randomised Controlled Study Of The Effects Of Music On Sleep Quality In Older People","979-987","10.1002/14651858.cd003477.pub2; 10.1002/nur.20102; 10.1016/0165-1781(89)90047-4; 10.1016/j.aorn.2007.09.007; 10.1016/j.aorn.2007.09.013; 10.1016/j.hrtlng.2007.05.003; 10.1016/s0001-2092(06)60564-4; 10.1016/s0001-2092(06)61207-6; 10.1016/s0197-4572(86)80059-3; 10.1016/s0897-1897(05)80091-6; 10.1037/1072-5245.10.1.64; 10.1046/j.1365-2044.2003.03189_4.x; 10.1046/j.1365-2702.2003.00888.x; 10.1053/apnr.2002.34140; 10.1080/08098130509478121; 10.1080/j354v19n03_05; 10.1089/acm.2008.0243; 10.1097/00002800-199703000-00003; 10.1097/00005082-200605000-00007; 10.1111/j.1365-2648.2004.03281.x; 10.1111/j.1365-2702.2004.01103.x; 10.1111/j.1478-5153.2006.00174.x; 10.1111/j.1600-0447.1994.tb01478.x; 10.1176/appi.ajp.162.9.1588; 10.1177/089801019501300306; 10.1213/01.ane.0000153014.46893.9b; 10.3758/bf03326460; 10.3928/00989134-20081001-08","8","","Chan, Moon Fai","10.1111/j.1365-2702.2010.03368.x","7-8","Journal Of Clinical Nursing","issn:0962-1067","2011"
"","","Notice Of Retraction: Innovation Of Anglo-American Literature Teaching Oriented By Improving Practical Abilities","","","0","","Ying-Jun, Liang","10.1109/icebeg.2011.5887110","","2011 International Conference On E-Business And E-Government (Icee)","","2011"
"","31","[Artículo Retractado] Estudio Bibliométrico De Las Publicaciones Relacionadas Con El Péndulo Entre Los Años 1629 Y 1885","639-645","","0","http://redc.revistas.csic.es/index.php/redc/article/download/447/459","Moreno-Cabo, Magdalena; Solaz-Portolés, Joan Josep","10.3989/redc.2008.4.647","4","Revista Española De Documentación Científica","issn:1988-4621; issn:0210-0614","2008"
"","","Notice Of Retraction: Oil Painting Structure Which Based On Autodesk Drawing Software","","","0","","Liu, Jianhua","10.1109/iciecs.2010.5677759","","2010 2Nd International Conference On Information Engineering And Computer Science","","2010"
"","","Notice Of Retraction: Research And Exploration For Professional Practice And Teaching Reform In Art Design","","","0","","Yongsheng Song; Jianhua Wang","10.1109/iceit.2010.5607708","","2010 International Conference On Educational And Information Technology","","2010"
"10.1109/icicse.2012.54; 10.1109/carpi.2012.6356553","","Notice Of Retraction: Study On The Application Of Team Communication Patterns In Art Design Teaching","","","2","","Liu Jian; Zhang Qiuhong; Chengqunqun","10.1109/esiat.2010.5568967","","2010 The 2Nd Conference On Environmental Science And Information Application Technology","","2010"
"","","Notice Of Retraction: Audio Encoder Architecture Using An External And Middle Ear Model And An Approximate Cochlear Filter Bank Repartition","","10.1007/978-3-662-09562-1; 10.1109/89.799695; 10.1109/aspaa.2005.1540227; 10.1109/icassp.1990.116136; 10.1109/secon.2005.1423228; 10.1121/1.1906661; 10.1121/1.414456","0","","Abid, Khalil; Ouni, Kais; Ellouze, Noureddine","10.1109/iccsit.2010.5563985","","2010 3Rd International Conference On Computer Science And Information Technology","","2010"
"","","Notice Of Retraction: Harmonious Color Combination Rules Based On Natural Color System","","10.1002/1520-6378(200102)26:1<4::aid-col3>3.0.co;2-t; 10.1002/col.20208; 10.1002/col.20417; 10.1002/col.20492; 10.1002/(sici)1520-6378(199610)21:5<353::aid-col5>3.0.co;2-x; 10.1007/978-3-662-04186-4; 10.1109/fuzz.2002.1005020","0","","Eun-Young Park; Ki-Eun Lee; Young-Ho Park","10.1109/iccsit.2010.5564005","","2010 3Rd International Conference On Computer Science And Information Technology","","2010"
"10.1080/23080477.2015.11665646","","Notice Of Retraction: Multi-Modal Music Genre Classification Approach","","10.1109/72.572104; 10.1109/icsmc.1999.825221; 10.1109/la-web.2007.13; 10.1109/mmedia.2009.42; 10.1109/tsa.2002.800560; 10.1145/1498759.1498812; 10.1145/860435.860487","1","","Chao Zhen; Jieping Xu","10.1109/iccsit.2010.5564489","","2010 3Rd International Conference On Computer Science And Information Technology","","2010"
"","","Notice Of Retraction: Innovative Design Of Industrial-Academic Cooperation In Baby Products","","10.1016/j.respol.2005.08.007; 10.1016/j.respol.2005.12.001; 10.1016/s0048-7333(01)00111-1; 10.1080/08111140600704798","0","","Ruilin Lin; Jingchen Xie","10.1109/icams.2010.5553019","","2010 Ieee International Conference On Advanced Management Science(Icams 2010)","","2010"
"","","Notice Of Retraction: Study On Creative Design In Composition","","10.1016/j.jmathb.2004.07.001; 10.1016/j.jmatprotec.2003.11.030; 10.1080/02602930500187113; 10.1111/j.1476-8070.2004.00383.x; 10.1111/j.1476-8070.2005.00434.x","0","","Jingchen Xie; Ruilin Lin","10.1109/icams.2010.5553021","","2010 Ieee International Conference On Advanced Management Science(Icams 2010)","","2010"
"","","Notice Of Retraction: Exploration Of Practical Teaching System Of Clothing Subject And Improvement Of Educational Mode Of Enterprise Base","","","0","","Fanglong Zhu; Kejing Li","10.1109/icetc.2010.5529623","","2010 2Nd International Conference On Education Technology And Computer","","2010"
"","","Notice Of Retraction: Study On Design Strategy Of Brand Culture In Art Education","","10.1002/asi.21138; 10.1016/j.cag.2004.03.009; 10.1061/(asce)0733-9372(2007)133:1(2); 10.1061/(asce)1532-6748(2008)8:2(49); 10.1109/mcs.2008.924881; 10.1109/mts.2007.911066; 10.4018/jdet.2006100102","0","","Zhu Lili","10.1109/icent.2010.5532127","","2010 International Conference On Educational And Network Technology","","2010"
"","","Notice Of Retraction: Research On Practical Teaching System Of Fashion Subject And Educational Pattern Of Enterprise Base","","","0","","Fanglong Zhu; Kejing Li","10.1109/opee.2010.5508083","","2010 International Conference On Optics, Photonics And Energy Engineering (Opee)","","2010"
"10.1109/tce.2012.6170064","","Notice Of Retraction: Study On Therapeutic Effect Of Music Therapy On Patients With Dental Anxiety Of College Students","","10.1109/vr.2005.88; 10.1250/ast.27.305","1","","Pu Cheng; Rong Chen","10.1109/edt.2010.5496628","","2010 International Conference On E-Health Networking Digital Ecosystems And Technologies (Edt)","","2010"
"","","Notice Of Retraction: An Analysis Of A Genre Set In Ra Abstracts And Introductions In Different Disciplines","","10.1016/s0889-4906(05)80002-x; 10.1016/s0889-4906(96)00039-7; 10.1016/s0889-4906(97)00026-4; 10.1109/47.749366; 10.1177/0741088387004002004; 10.1515/9783110821048.251; 10.1515/text.1.1996.16.4.481","0","","Ping, Han; Qingqing, Wei; Yuying, Liu; Zhengyu, Zhu","10.1109/etcs.2010.125","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: Application Of Digital Technology In Art-Design Education","","","0","","Meng, Zhang","10.1109/etcs.2010.329","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: Chinese Painting Education Under The Contemporary Situation","","","0","","Tan, Chongzheng","10.1109/etcs.2010.322","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: Discussion On The Design Education Divided Between Sense And Artistry","","","0","","Duan, Yun","10.1109/etcs.2010.369","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: Effects Of Net-Media On Art Design Education","","","0","","Wang, Chaoshun","10.1109/etcs.2010.531","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: On The Ability Development In The Course Graphic Originality","","","0","","Hongbo, Zhang","10.1109/etcs.2010.532","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: To Explore Case-Driven Teaching Mode For Mechanical Cg Course","","10.1002/tl.37219924904; 10.1080/00220485.1995.10844853; 10.1080/87567555.1996.9933425; 10.1111/1528-3577.00002","0","","Wei, Li","10.1109/etcs.2010.314","","2010 Second International Workshop On Education Technology And Computer Science","","2010"
"","","Notice Of Retraction: Sorcery, Taoism, Polytheism, Sao - Sources Of Chu Art'S Spiritual Images","","","0","","Yang Sibao","10.1109/caidcd.2009.5374938","","2009 Ieee 10Th International Conference On Computer-Aided Industrial Design & Conceptual Design","","2009"
"","106","Profile Of Phillip Cohen","4581-4583","10.1042/bj2880351; 10.1126/science.6306765","0","https://www.pnas.org/content/pnas/106/12/4581.full.pdf","Arnold, C.","10.1073/pnas.0902168106","12","Proceedings Of The National Academy Of Sciences","issn:0027-8424; issn:1091-6490","2009"
"","33","An <I>Auteur</I> For All Seasons: An Interview With Eric Rohmer","123-136","","0","","Bert Cardullo","10.1353/frf.0.0051","3","French Forum","issn:1534-1836","2009"
