DDC,LCC
000,QA
001,A
001,AZ
002,Z
004,QA
005,QA
006,QA
010,Z
020,Z
030,AE
030,AY
050,AI
050,AP
060,AM
060,AS
061,AS
062,AS
063,AS
064,AS
065,AS
066,AS
067,AS
068,AS
069,AM
070,AN
070,PN
070,Z
080,AC
090,Z
100,B
110,BD
111,BD
111.85,BH
115,BD
120,BD
124,BD
130,BD
130,BF
140,BD
150,BF
152,BF
152,HM
152,QH
155,BF
160,BC
170,BJ
180,B
181,B
182,B
183,B
185,B
186,B
187,B
188,B
189,B
190,B
200,BL
210,BL
212,BL
220,BS
221,BS
225,BS
226,BS
227,BS
228,BS
229,BS
230,BR
230,BT
232,BT
236,BT
240,BV
250,BR
250,BV
260,BR
260,BV
270,BR
280,BX
282,BX
283,BX
284,BX
286,BX
287,BX
289,BX
290,BL
292,BL
295,BL
296,BM
297,BP
300,H
301,GN
301,HM
304,GF
310,HA
320,J
320,JA
320.5,JC
320.94,JN
320.95,JQ
320.96,JQ
320.971,JL
320.973,JK
327,JZ
330,HB
330.9,HC
331,HD
332,HD
332,HG
333,HD
333,HD9502
333.7,GE
334,HD
335,HD
335,HX
336,HD
336,HJ
337,HD
338,HD
339,HB
340,K
340.94,K
340.95,KL
340.96,KL
340.971,KE
340.973,KF
341,KZ
345,K
346,KB
347,K
350,JF
352,JS
353,JK
355,U
360,H
361,HN
362,HN
363,HN
364,HV
365,HV
366,HS
367,HS
368,K
370,L
370.1,LB
370.9,LA
371,LB
371,LC
372,LB
373,LB
374,LC
376,LC
377,LC
378,LB
378,LH
378.4,LF
378.5,LG
378.6,LG
378.73,LD
378.74,LD
378.75,LD
378.76,LD
378.77,LD
378.78,LD
378.79,LD
378.8,LE
380,HF
382,HF1
383,HE
384,HE
385,HE
386,HE
387,HE
387,TL
388,HE
390,BJ
390,GR
390,GT
391,GT
392,GT
393,GT
395,BJ
398,GR
400,P
410,P
411,P
411.7,CN
412,P
414,P
415,P
419,PM
420,PE
430,PD
440,PC
449,PC
450,PC
459,PC
460,PC
469,PC
470,PA
480,PA
490,P
492,PJ
494,PL
495,PL
496,PL
497,PM
498,PM
500,Q
510,QA
512,QA
513,QA
514,QA
515,QA
516,QA
519,QA
520,QB
521,QB
529,CE
530,QC
531,QC
532,QC
533,QC
534,QC
535,QC
536,QC
537,QC
538,QC
539,QC
540,QD
541,QD
542,QD
543,QD
544,QD
545,QD
546,QD
547,QD
548,QD
549,QE
550,QE
551,GB
551,QC
551,QE
551.4,GB
551.46,GC
552,QE
553,QE
560,QE
570,QH
572,GN
572,QD
573,GN
574,QH
575,QH
576,QH
577,QH
578,QH
579,QH
580,QK
581,QK
582,QK
585,K
586,QK
590,QL
591,QL
592,QL
593,QL
594,QL
595,QL
596,QL
597,QL
598,QL
599,QL
600,T
607,T
608,Q
608,T
610,R
611,QH
611,QM
612,QP
615,RM
617,RD
618,R
618,RG
619,R
620,TA
621,QC
621,TJ
622,TN
623,UG
623,VM
624,TA
625,TE
625,TF
627,TC
628,TD
629,T
630,S
631,S1
632,SB
633,SB
634,SB
634,SD
636,SF
637,SF
638,SF
639,S
639,SK
640,TX
641.7,HQ
649.1,HQ
650,HD
653,Z
657,HF
658,HD
659,HF
660,TP
670,HD
680,TT
690,TH
700,N
708,N
710,SB
720,NA
730,NB
736,NB
737,CJ
738,NB
739,NB
740,NC
740,NK
746,NK
748,NK
749,NK
750,ND
760,NE
761,NE
763,NE
764,NE
765,NE
767,NE
770,TR
780,M
781,MT
782,M
783,M
784,M
785,M
786,MT
787,MT
788,MT
790,GV
790,PN
792,PN
793,GV
795,GV
796,GV
797,GV
799,SK
800,P
803,AG
810,PS
820,PR
830,PT
840,PQ
850,PQ
860,PQ
869,PQ
870,PA
880,PA
890,PN
900,D
900,G
909,CB
909.0491497,DX
910,G
911,G141
912,GA
914,G
915,G
916,G
917,G
918,G
919,G
920,CR
920,CS
920,CT
929.1,CD
929.2,CD
929.3,CD
929.6,CR
930,D
930.1,CC
938,DE
940,DAW
942,DA
943,DD
943.6,DB
943.9,DB
944,DC
945,DG
946,DP
947,DJK
947,DK
948,DL
949.2,DH
949.3,DH
949.4,DQ
949.5,DF
949.6,DR
950,DS
951,DS
952,DS
953,DS
954,DS
955,DS
960,DT
961,DT
962,DT
963,DT
965,DT
966,DT
967,DT
968,DT
969,DS
970,F
971,F
972,F
973,E
980,F
981,F
982,F
983,F
984,F
985,F
987,F
988,F
990,DU
993,DU
994,DU
995,DU